name,lat,lng,source,checked_on,action,note
"문경","36.71972","128.11083","https://ko.wikipedia.org/wiki/문경역","2026-09-21","added","중부내륙선 신역; Rail.Blue station id 4821912의 36.720485896/128.110725066와 0.1km 이내 교차 확인"
"문경(구역)","36.7294444","128.1063889","https://www.wikidata.org/wiki/Q1597551","2026-09-21","added","구 문경선 종점; 36도43분46초N 128도6분23초E; 신역과 분리"
"부산진","35.128725","129.0499056","https://ko.wikipedia.org/wiki/부산진역_(한국철도공사)","2026-09-21","added","범일 보충 후 동해선 기점 외삽 방지; 도시철도역과 구분"
"가야","35.16139","129.04278","https://ko.wikipedia.org/wiki/가야역_(한국철도공사)","2026-09-21","added","원본에 없어 CSV에 추가"
"범일","35.1451","129.0575","https://en.wikipedia.org/wiki/Beomil_station_(Korail)","2026-09-21","added","원본에 없어 CSV에 추가"
"채운신호장","36.16333","127.04889","https://ko.wikipedia.org/wiki/채운역","2026-09-21","added","원본에 없어 CSV에 추가"
"연무대","36.12444","127.0875","https://ko.wikipedia.org/wiki/연무대역","2026-09-21","added","원본에 없어 CSV에 추가"
"판교(성남)","37.3947611","127.1111361","https://ko.wikipedia.org/wiki/판교역_(성남)","2026-09-21","added","원본에 없어 CSV에 추가"
"성남","37.39472","127.11944","https://ko.wikipedia.org/wiki/성남역","2026-09-21","added","원본에 없어 CSV에 추가"
"이매","37.3957306","127.1283667","https://ko.wikipedia.org/wiki/이매역","2026-09-21","added","원본에 없어 CSV에 추가"
"삼동","37.408654","127.2032791","https://ko.wikipedia.org/wiki/삼동역","2026-09-21","added","원본에 없어 CSV에 추가"
"경기광주","37.399198","127.2526508","https://ko.wikipedia.org/wiki/경기광주역","2026-09-21","added","원본에 없어 CSV에 추가"
"초월","37.373487","127.299907","https://ko.wikipedia.org/wiki/초월역","2026-09-21","added","원본에 없어 CSV에 추가"
"곤지암","37.350518","127.346193","https://ko.wikipedia.org/wiki/곤지암역","2026-09-21","added","원본에 없어 CSV에 추가"
