name,lat,lng,source,checked_on
사상,35.1625111,128.9889333,https://ko.wikipedia.org/wiki/사상역_(한국철도공사),2026-09-21
가야,35.16139,129.04278,https://ko.wikipedia.org/wiki/가야역_(한국철도공사),2026-09-21
범일,35.1451,129.0575,https://en.wikipedia.org/wiki/Beomil_station_(Korail),2026-09-21
채운신호장,36.16333,127.04889,https://ko.wikipedia.org/wiki/채운역,2026-09-21
연무대,36.12444,127.0875,https://ko.wikipedia.org/wiki/연무대역,2026-09-21
행신,37.612139,126.834139,https://ko.wikipedia.org/wiki/행신역,2026-09-21
서울,37.555167,126.970833,https://ko.wikipedia.org/wiki/서울역,2026-09-21
청량리,37.580861,127.048389,https://ko.wikipedia.org/wiki/청량리역,2026-09-21
상봉,37.596722,127.08475,https://ko.wikipedia.org/wiki/상봉역,2026-09-21
덕소,37.58639,127.20944,https://ko.wikipedia.org/wiki/덕소역,2026-09-21
양평,37.49833,127.49611,https://ko.wikipedia.org/wiki/양평역_(양평),2026-09-21
서원주,37.3498,127.837,https://ko.wikipedia.org/wiki/서원주역,2026-09-21
만종,37.356363,127.896399,https://ko.wikipedia.org/wiki/만종역,2026-09-21
횡성,37.48278,128.01028,https://ko.wikipedia.org/wiki/횡성역,2026-09-21
둔내,37.51,128.22111,https://ko.wikipedia.org/wiki/둔내역,2026-09-21
평창,37.56222,128.43,https://ko.wikipedia.org/wiki/평창역,2026-09-21
진부(오대산),37.6425,128.57472,https://ko.wikipedia.org/wiki/진부역,2026-09-21
강릉,37.7637611,128.8990861,https://ko.wikipedia.org/wiki/강릉역,2026-09-21
정동진,37.6913583,129.0333167,https://ko.wikipedia.org/wiki/정동진역,2026-09-21
묵호,37.5460556,129.1082306,https://ko.wikipedia.org/wiki/묵호역,2026-09-21
동해,37.4979778,129.1227611,https://ko.wikipedia.org/wiki/동해역,2026-09-21
판교(성남),37.3947611,127.1111361,https://ko.wikipedia.org/wiki/판교역_(성남),2026-09-21
성남,37.39472,127.11944,https://ko.wikipedia.org/wiki/성남역,2026-09-21
이매,37.3957306,127.1283667,https://ko.wikipedia.org/wiki/이매역,2026-09-21
삼동,37.408654,127.2032791,https://ko.wikipedia.org/wiki/삼동역,2026-09-21
경기광주,37.399198,127.2526508,https://ko.wikipedia.org/wiki/경기광주역,2026-09-21
초월,37.373487,127.299907,https://ko.wikipedia.org/wiki/초월역,2026-09-21
곤지암,37.350518,127.346193,https://ko.wikipedia.org/wiki/곤지암역,2026-09-21
신둔도예촌,37.315493,127.405249,https://ko.wikipedia.org/wiki/신둔도예촌역,2026-09-21
이천,37.26419,127.442045,https://ko.wikipedia.org/wiki/이천역,2026-09-21
부발,37.260411,127.490308,https://ko.wikipedia.org/wiki/부발역,2026-09-21
세종대왕릉,37.293653,127.570796,https://ko.wikipedia.org/wiki/세종대왕릉역,2026-09-21
여주,37.28288,127.62857,https://ko.wikipedia.org/wiki/여주역,2026-09-21
광명,37.41639,126.885,https://ko.wikipedia.org/wiki/광명역,2026-09-21
천안아산,36.79222,127.10444,https://ko.wikipedia.org/wiki/천안아산역,2026-09-21
오송,36.6207917,127.3278,https://ko.wikipedia.org/wiki/오송역,2026-09-21
대전,36.3318944,127.4345222,https://ko.wikipedia.org/wiki/대전역,2026-09-21
김천(구미),36.1135,128.180972,https://ko.wikipedia.org/wiki/김천(구미)역,2026-09-21
서대구,35.88083,128.53917,https://ko.wikipedia.org/wiki/서대구역,2026-09-21
동대구,35.87801,128.627844,https://ko.wikipedia.org/wiki/동대구역,2026-09-21
울산,35.5506861,129.1379389,https://ko.wikipedia.org/wiki/울산역,2026-09-21
부산,35.1149917,129.0420889,https://ko.wikipedia.org/wiki/부산역,2026-09-21
남영,37.54,126.97139,https://ko.wikipedia.org/wiki/남영역,2026-09-21
